Part,Value,Device,Package,Description,TP_SIGNAL_NAME,,digikey part,unit price,price break,qty per board,qty required,aliexpress,digikey,linear technology
12V,Green,LEDCHIP-LED0805,CHIP-LED0805,LED,,,732-4986-1-ND,0.3,1,1,10,,3,
50V,PTR1PAD1-13,PTR1PAD1-13,P1-13,TEST PIN,,,,,,1,,,0,
C1,1uF 100V,CPOL-USSMCD,SMC_D,POLARIZED CAPACITOR,,,311-2067-1-ND,0.839,10,1,10,,8.39,
"C2,3,51",4.7uF,C-EUC1206,C1206,CAPACITOR,,,1276-6706-1-ND,0.295,10,3,30,,8.85,
"C6,41,42",0.1uF,C-EUC1206,C1206,CAPACITOR,,,478-1529-1-ND,0.163,10,3,30,,33,
"C4,C5,C7,8,9,10,11,12,13,14,15,16,17",100nF,C-EU-SMALL_0603,C0603@1,,,,1276-6807-1-ND,0.0846,100,13,130,,10.998,
"C18,19",10nF,C-EU-SMALL_0603,C0603@1,,,,490-1525-1-ND,0.087,10,2,20,,1.74,
"C20,21,48",10uF,CPOL-EUSMCD,SMC_D,POLARIZED CAPACITOR,,,718-1098-1-ND,0.788,10,3,30,,23.64,
C43,100pF,C-EU-SMALL,C1206@1,,,,399-1206-1-ND,0.213,10,1,10,,2.13,
C50,1uF,C-EUC1206,C1206,CAPACITOR,,,399-1254-1-ND,0.216,10,1,10,,2.16,
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,19",,SMF5.0AT1,SOD123FL,200 W Transient Voltage Suppressor,,,F5748CT-ND,0.3899,100,12,120,14,46.788,
D17,5.0SMDJ15A 24.4V,SCHOTTKY-DIODESMC,SMC,Schottky Diode,,,5.0SMDJ15ACT-ND,2.67,10,1,10,,8.36,
D18,S3D,DIODE-SMC,SMC,DIODE,,,S3DFSCT-ND,0.523,10,1,10,,5.23,
D22,MMSD4148T1G,MMSD4148T1G,SOD123,,,,MMSD4148T1GOSCT-ND,0.309,10,1,10,,3.88,
F1,LITTLEFUSE_PTC,LITTLEFUSE_PTC,1812,,,,MINISMDC050F-2CT-ND,0.579,10,1,10,,5.79,
FAULT,RED,LEDCHIP-LED0805,CHIP-LED0805,LED,,,475-1278-1-ND,0.289,10,1,10,,2.89,
IC8,4052D,4052D,SO16,Dual 4-channel ANALOG MULTIPLEXER,,,1727-2808-1-ND,0.465,10,1,10,,4.65,
"J1,2",J0006D21,J0006D21,J0-C/D/E,RJ45 PulseJack,,,,,,,,,,
